ja,en,fil-PH,pt,es,pt-BR,zh,ko,fr,hi,th,vi,my,ne,bn,id,ta,si,mn,ar,fa,tr,ru,ur,km,lo,ms,de,hu,cs,pl,nl,da,fi,sv,lb,af,fr-CA,翻訳言語数
けこみ板,Riser,riser plate,,,,踏步踢面板,,,,ไมบ้ ันไดลกู ตัง้,Ván đứng (giữa 2 bậc thang),သလက ာ်း စသညတ် ၏ှို ဲ့ သဒါငလ် ကှို အ် ခပာ်း,,,Undakan,,,,,,,,,កាា បញ្ឈរ,,,,,,,,,,,,,,8
目地棒,Joint bar,joint strip,,,,接缝棒,,,,วสั ดกุ ัน้ ใหเ้กดิ แนวร่อง รอยตอ่,"Thanh tạo rãnh, thanh nối, thanh liên kết",ကနွ က် ရစ်တငွ ် သခမာင်း် သဖာ်ရန ် ထညသ်ဲ့ သာ အသ ာင်း်,,,Sambungan pasang batu,,,,,,,,,ំបូងោក់កាច់ម្ ងុ,,,,,,,,,,,,,,8
コンクリート,Concrete,kongkreto,,,,混凝土,,,,คอนกรตี,Bê tông,ကနွ က် ရစ်,,,Beton,,,,,,,,,សបត្ុង,,,,,,,,,,,,,,8
コンベックス,Metal tape measure,medida,,,,钢卷尺,,,,ตลับเมตร,Thước dây,အလ ာ်းတငှို ်း် သည ်ဲ့ သသ ပတအ လပှိ ်,,,Meteran (Convex),,,,,,,,,ឧបករណ៏វាស់ ផ្វង,,,,,,,,,,,,,,8
作業用手袋,Work gloves,guwantes na pantrabaho,,,,工作手套,,,,ถงุ มอื สา หรับใชป้ ฏบิ ัตงิ าน,Găng tay bảo hộ lao động,လပု ်ငန်း် ငွ သ် ်း ု လကအ် ပှိ ်,,,Sarung tangan kerja,,,,,,,,,សម្នរស ការង្ករ,,,,,,,,,,,,,,8
差金,L-square ruler,carpenter’s square,,,,角尺,,,,ฉากเหล็ก,"Thước vuông, ê ke (của thợ mộc)",သသ ပတသ ထာငမ်ဲ့ န ် အသကာက်,,,Mistar logam,,,,,,,,,ផ្ កបញ្ច លូ,,,,,,,,,,,,,,8
水平器,Leveler(cid:9),level gauge,,,,水平仪,,,,"ระดับน ้า, เครอื่ งวดั ระดับ","Thước thủy, thước nivo, ống bọt nước",သရခပငည် တ ငှို ်း် သည ်ဲ့ ကရှိ ှိယာ,,,Alat sipat datar,,,,,,,,,ផ្រ៉ាម្ត្សទង់,,,,,,,,,,,,,,8
墨さし,Bamboo marking pen,brush na pangmarka na yari sa kawayan,,,,墨壶,,,,ปากกาสา หรับใชต้ เี สน้,Cọ châm mực làm dấu,သစ်သာ်းတငွ ် အမ တအ် သာ်း သရ်းခ စ်ရန် သ်း ု သသာ ဝါ်း ျွနခ်ပာ်း,,,Alat pengukur tempat tinta,,,,,,,,,បិចសធវើព៊ីឬសែ៊ី,,,,,,,,,,,,,,8
墨つぼ,Inkpot,kagamitang pangmarka ng mahaba at tuwid na guhit,,,,墨斗,,,,บักเตา้ ตเี สน้,Lọ mực (của thợ môc),မငအ် နက ် ထညသ်ဲ့ သာ သစ်သာ်းအု်းှိ,,,Tempat tinta,,,,,,,,,ប្ទ ត្់ ផ្ខ្ែ,,,,,,,,,,,,,,8
丸セパレーター（丸セパ）,,,,,,,,,,,Thiết bị phân ly,,,,,,,,,,,,,,,,,,,,,,,,,,,1
天端釘,Leveling pin,levee crown nail,,,,顶端钉子,,,,หมดุ ชว่ ยในการปรับระดับ สนั คอนกรตี ฐานราก,Đinh đóng mặt trên,ကနွ က် ရစ်မ ကန္် ာ ခပငတ် ငွ ် စှိုကထ် ာ်းသသာ သသ ာင်း်,,,Bilah yang dipasang pada sudut acuan,,,,,,,,,បែកសោលបនែកខាងសលើនៃ េំណង់,,,,,,,,,,,,,,8
けれん,,,,,,,,,,,"Làm sạch, phẳng, nhẵn bề mặt, Chà nhám",,,,,,,,,,,,,,,,,,,,,,,,,,,1
型枠支保工,Form timbering,form timbering,,,,模板支架,,,,ค ้ายัน,Hệ chống đỡ ván khuôn,ကနွ က် ရစ်သလာင်း် ှိနတ် ငွ ် ပ ုစ ကွ သ် ောငက် ှို သထာကက် နသ် ည ်ဲ့ လပု ်ငန်း်,,,Penahan acuan,,,,,,,,,េ ៉ុមេរមប់ចាក់សបត៉ុង,,,,,,,,,,,,,,8
基礎型枠（メタルフォー ム）,,,,,,,,,,,Ván khuôn móng (Ván khu ôn kim loại),,,,,,,,,,,,,,,,,,,,,,,,,,,1
釘仕舞い,Clearing away,pag-alis sa pako mula sa form / nail remover,,,,收拾钉子,,,,ถอนตะปอู อกและจัดเก็บ หลังจบงาน,Nhổ đinh khỏi gỗ phế liệu,ရုှိကထ် ာ်းသသာ သသ ာင်း် မ ာ်းက ှို ခပနန္် တှု သ် မှိ ််းဆည်း် ခ င်း်,,,Marking/Penandaan,,,,,,,,,េំរលួ បែកសោល,,,,,,,,,,,,,,8
スラブ天端,Slab upper surface,dulong itaas na bahagi ng losa (slab),,,,板顶端、板顶,,,,ระดับบนสดุ ของพนื้,Mặt trên bê tông,ကကမ််းခပငခ်ပာ်း,,,Puncak plat (Lantai),,,,,,,,,រកឡាបនែកខាងសលើនៃេំណង់,,,,,,,,,,,,,,8
高さ（タッパ）,Height (Tappa),taas,,,,高度,,,,ความสงู (สว่ นสงู ),Độ cao (còn gọi là Tappa),အခမင်ဲ့,,,Tinggi (Tinggi dalam istilah pembangunan),,,,,,,,,កំពេ់,,,,,,,,,,,,,,8
建込み,Installation,pagposisyon nang patayo / vertical position,,,,搭建,,,,ประกอบวสั ดกุ อ่ สรา้ งใน แนวตัง้ ทตี่ าแหน่งตามที่ ก าหนดในแบบ,Lắp đặt theo chiều dọc,သဒါငလ် ကှို ် တပ်ဆငခ် င်း်,,,Membangun kerangka,,,,,,,,,សលើកយួរសហ្ើយោក់,,,,,,,,,,,,,,8
通り,Correcting / improving,pagkatuwid,,,,通端,,,,เป็นแนวเสน้ ตรง,"Thẳng, Ngay ngắn",ခပနခ်ပငခ် င်း်,,,Cara,,,,,,,,,នល វូ លំ,,,,,,,,,,,,,,8
蹴上げ,Riser,riser,,,,踏级高度,,,,ความสงู ของขัน้ บันได,Chiều cao một bậc thang,သလက ာ်းတစ်ဆင၏်ဲ့ အခမင်ဲ့,,,Tinggi busur,,,,,,,,,កំពេ់ជំហាៃកាជំ សណាើរ,,,,,,,,,,,,,,8
蹴込み,Nosing,footboard,,,,踏级垂直挡板,,,,สว่ นทขี่ ัน้ บันไดเหลอื่ มกัน,Phần lõm vào theo chiều ngang của bậc thang trên v à bậc thang dưới,သလက ာ်း၏ သခ နင်း် အက ယ်,,,Undakan,,,,,,,,,បនែកខាងកន គងសៅកាំជសណាើរ,,,,,,,,,,,,,,8
工具の手入れ,Tool maintenance,paglilinis at pangangalaga sa mga kagamitan / tool care & maintenance,,,,维护工具,,,,ดแู ลรักษาเครอื่ งมอื,Bảo dưỡng dụng cụ,ကရှိ ှိယာမ ာ်းက ှို ခပြုံခပငထ် နှိ ်း် သမှိ ််းခ င်း်,,,Perawatan alat perkakas,,,,,,,,,សរៀបេំោតឧបករណ៏,,,,,,,,,,,,,,8
下げ振り,Plumb bob,plumb,,,,垂标坠,,,,สายดงิ่,"Quả dọi, dây dọi",ှိနသ် ်း,,,Pemberat,,,,,,,,,ឧបករណ៏វាេ់បញ្ឈររតង់,,,,,,,,,,,,,,8
地墨,Marking,marka para sa partisyon,,,,墨,,,,ท าเครอื่ งหมายเพอื่ ก าหนดต าแหน่งกอ่ สรา้ ง บนพนื้ ฐานราก,Đánh đấu,ကကမ််းခပင ် စသညတ် တှို ဲ့ ငွ ် ခ စ်မ တထ် ာ်းသသာ မင်,,,Tinta,,,,,,,,,សាែ មេញ្ជា កំណត់រីតាងំ,,,,,,,,,,,,,,8
捨てコンクリート,Leveling concrete,leveling concrete,,,,混凝土制模板,,,,"การเทลนี , การเทคอนกรตี เพอื่ ปรับผวิ หนา้ ดนิ",Bê tông lớp tạo phẳng,သခမသာ်းသပေါ်တငွ သ် ရ ်းဥ ်းစွာ သလာင်း် သသာ ကနွ က် ရစ်အလာ,,,Bagian lantai beton,,,,,,,,,ចាក់សបត៉ុងសេាើង(សបត៉ុង សចាល),,,,,,,,,,,,,,8
はね出し,Overhanging,nakakausli,,,,踏板等成悬臂部位,,,,สว่ นทยี่ นื่ ออกมา,Nhô ra,ကျွ ထကွ သ် နခ င်း်,,,Trap,,,,,,,,,ការសចញកាា ពបី សគោ ល,,,,,,,,,,,,,,8
はらみ,Swell,umbok,,,,包藏、凸起、弯曲,,,,เบง่ บวม,Phình,သဖာင်း် ကကခ င်း်,,,Tonjolan,,,,,,,,,ភ្ជពសប៉ា ងច៉ុោះ,,,,,,,,,,,,,,8
前面,Front,front face,,,,前面、正面,,,,ดา้ นหนา้,Mặt trước,သရ ွဲ့မ ကန္် ာ ခပင်,,,Muka depan,,,,,,,,,ននៃខាងម៉ុខ,,,,,,,,,,,,,,8
養生,Curing,curing,,,,保养、固化,,,,บม่,Dưỡng hộ,ပပ ်းသာွ ်းသသာအပှိုင်း် မ ာ်းကှို ထ ှိ ကှို မ် ှုမရှိ သစရန ် ထနှိ ်း် သမှိ ််းခ င်း်,,,Pemantangan beton,,,,,,,,,រ៉ុុំព័រធ,,,,,,,,,,,,,,8
レベル,Level,level,,,,水平,,,,"ระดับ, เครอื่ งวดั ระนาบ",Độ cân bằng,အနမှိ ်ဲ့အခမင၊်ဲ့ သရခပငည်,,,Permukaan,,,,,,,,,កំពេ់,,,,,,,,,,,,,,8
割付,Allocation,layout,,,,分配、分割,,,,การแบง่ พนื้ ทบี่ นแบบ แปลนเพอื่ ก าหนดจดุ ตดิ ตัง้ อยา่ งถกู ตอ้ ง,"Sự phân bổ, bố trí đều",သွ ဝသတမ် တခ် င်း်,,,Penempatan,,,,,,,,,បបងបចក,,,,,,,,,,,,,,8
埋め込み金物,Metal insert,nakabaong metal,,,,预埋五金,,,,อปุ กรณ์โลหะแบบฝังอยู่ ในคอนกรตี เพอื่ เป็น รากฐานของตัวยดึ สา หรับ ตดิ ตัง้ อปุ กรณ์ตา่ งๆ,Kim loại đặt trong bê tông,ြှ ခမြုံပ်ထာ်းသသာ သထ ညပ် စစည်း်,,,Logam benaman,,,,,,,,,ឧបករណ៏ បែកបងោប់,,,,,,,,,,,,,,8
解体する（バラス）,Demolish (Barasu),pagkalas (disassemble) / ikalas,,,,解体,,,,รอื้ ถอน (ถอดเป็นชนิ้ ๆ),(danh từ) Sự tháo dỡ,ပဖှိြုံဖ ကသ် ည်,,,Membongkar (Mencabut),,,,,,,,,ការបំ បបក,,,,,,,,,,,,,,8
かぶり寸法,Concrete cover thickness,covering dimension,,,,涂面白变尺寸、保护层 尺寸,,,,"ระยะคอนกรตี หมุ้ ผวิ เหล็ก, ระยะหมุ้ ของคอนกรตี",Độ dày lớp bê tông bảo vệ cốt thép,သသ ာင်း် ကအှို ုပ်သည ်ဲ့ ကနွ က် ရစ်၏ အထူ,,,Ukuran ketebalan pelapisan,,,,,,,,,ករមេ់រ្ប,,,,,,,,,,,,,,8
異形棒鋼,Deformed steel bar,deformed steel bar,,,,异形条钢,,,,เหล็กขอ้ ออ้ ย,Cốt thép có gờ (cốt thép gai),ပ ုသဏ္ဍာနမ် တညူ သ ည ်ဲ့ သသ ာင်း် မ ာ်း,,,Besi beton berulir,,,,,,,,,ឧបករណ៏ពង្រឹរបបតុរ របូ រារពិបេេ,,,,,,,,,,,,,,8
結束線,Binding wire,tie wire / alambreng pang dikitin o pagsamahin,,,,多股胶合线、绑扎丝、 捆结线,,,,ลวดผกู เหล็ก,Dây thép buộc,တ ွ ညသ် ညက်ဲ့ကြုံှိ်း,,,Kawat pengikat,,,,,,,,,ដសែរតឹ ចំណរ,,,,,,,,,,,,,,8
結束工具,Tying tool,deformed steel bar,,,,捆扎工具,,,,เครอื่ งมอื ทใี่ ชก้ ารผกู เหล็ก,Móc buộc thép,ညသ် န္ာ ငသ် ညက်ဲ့ ရှိ ှိယာ,,,Perkakas pengikat,,,,,,,,,ឧបករណ៏រតឹ ចរ,,,,,,,,,,,,,,8
鉄筋切断機,Rebar cutter,iron bar cutting machine,,,,钢筋切割机,,,,เครอื่ งตัดเหล็กเสรมิ,Máy cắt thép,သသ ာင်း် ခဖတစ် က်,,,Mesin pemotong tulangan baja,,,,,,,,,ម េុ៊ីនកាត់េរសេដែក,,,,,,,,,,,,,,8
鉄筋曲げ加工機,Rebar bending machine(cid:9),binding tool,,,,钢筋弯曲加工机,,,,เครอื่ งดัดเหล็กเสรมิ,Máy uốn thép,သသ ာင်း် သက်းွ စက်,,,Mesin pembengkok tulangan baja,,,,,,,,,ម េុ៊ីនពត់េរសេដែក,,,,,,,,,,,,,,8
アンカー,Anchor,kawit / anchor,,,,锚固,,,,สมอ,Neo,ကနွ က် ရစ်မ အစွန်း် ထကွ သ် သ ာင်း်,,,Angkur,,,,,,,,,ដែកយុថាា,,,,,,,,,,,,,,8
加工場,Workshop,proteksiyong pang-ulo (helmet),,,,加工场地,,,,โรงแปรรูป,Khu vực gia công,အလပု ်ရု,,,Tempat pemrosesan,,,,,,,,,កដនលរដកសនែ,,,,,,,,,,,,,,8
スペーサ―,Spacer,angkla,,,,横梁肋支架、 调距模板,,,,ลกู ปนู,Con kê,ကနွ က် ရစ်သလာင်း် ှိန ် သသ ာင်း် မလပှု ်ရနန္် င ်ဲ့ သသ ာင်း် ၏ ကနွ က် ရစ် အတငွ ်း် ရှိ အနကက် ှို ထနှိ ်း် ရန ် သ်း ု သညပ်ဲ့ စစည်း်,,,Spacer,,,,,,,,,ឧបករណ៏រកាចប្ល ះ,,,,,,,,,,,,,,8
ドーナツ,Donut spacer,processing plant,,,,间隔圈,,,,ลกู ปนู กลม,Con kê hình bánh xe,သသ ာင်း် ၏ ကနွ က် ရစ် အတငွ ်း် ရှိ အနကက် ှို ထနှိ ်း် ရန ် သသ ာင်း် တငွ ် တပ်သည ်ဲ့ ပလပ်စတစ်ခပာ်း,,,Donut,,,,,,,,,ឧបករណ៏រកាចប្ល ះរារ ជាររវរ់(ែូណាត់),,,,,,,,,,,,,,8
加工配筋図,Bar bending and arrangement schedule,spacer,,,,加工配筋图,,,,แบบการวางและดัดเหล็ก เสรมิ,Bản vẽ bố trí cốt thép gia c ông,သက ကူ နွ က် ရစ် တညသ် ဆာကရ် နပ် ု,,,Gambaran susunan tulangan,,,,,,,,,បលរ់ោក់េសេដែកដកសនែ,,,,,,,,,,,,,,8
配筋詳細図,Detailed bar arrangement schedule,rebar spacer (donut),,,,配筋详细图,,,,แบบละเอยี ดของการวาง เหล็กเสรมิ,Bản vẽ chi tiết bố trí cốt th ép,သက ကူ နွ က် ရစ် တညသ် ဆာကခ် င်း် အသသ်းစှိတပ် ု,,,Gambar detil susunan tulangan,,,,,,,,,បលរ់លំអិតោក់េរសេដែក,,,,,,,,,,,,,,8
開口補強筋,Opening reinforcement bar,opening reinforcement,,,,开口加固筋,,,,การเสรมิ เหล็กชอ่ งเปิด,Cốt thép gia cường lỗ mở,အသပါက ် အာ်းကသူ သ ာင်း်,,,Opening reinforcement (penguatan kerangka beton bagian berlubang),,,,,,,,,េរសេដែកពង្រឹរដនែក បបើកចំ រ,,,,,,,,,,,,,,8
幅止め筋,Spreader bar,spreader bar,,,,宽固定筋,,,,เหล็กเสรมิ ทใี่ สเ่ พมิ่ เมอื่ มี การผกู เหล็กเสรมิ สองชัน้ เพอื่ ยดึ ใหร้ ะยะหา่ งระหวา่ ง เหล็กคงที่,Cốt thép đai ngắn nối hai thanh đối diện bụng dầm đ ể giữ khoảng cách chính x ác giữa 2 thanh,သသ ောင၏် အက ယ ် ပငမှိ ်သစရန ် ကနလ် ဲ့ န ် ဲ့ ထ ာ်းသည ်ဲ့ သသ ာင်း်,,,Tulangan penahan lebar,,,,,,,,,េរសេដែកពង្រឹរ,,,,,,,,,,,,,,8
差筋,Expansion joint,joint bar,,,,插筋,,,,เหล็กเดอื ย,Cốt thép chờ,(ကနွ က် ရစ်တငွ ်) အစွန်း် ထကွ သ် သ ာင်း် က ှို စှိုကသ် ငွ ်း် ခ င်း်,,,Batang sambungan,,,,,,,,,េរសេដែកចប្ល ះេំណរ់,,,,,,,,,,,,,,8
柱主筋,Longitudinal bar,column bar,,,,柱主筋,,,,"เหล็กเสรมิ หลักในเสา, เหล็กยนื",Cột chủ cốt thép,သကာ်လတ ငှို ် အဓှိကသတ ငှို ်,,,Tulangan utama kolom,,,,,,,,,េរសេដែកេេរបម្,,,,,,,,,,,,,,8
柱配筋,Reinforced column,column bar arrangement,,,,柱配筋,,,,การวางเหล็กเสรมิ ในเสา,Cột cốt thép,သကာ်လတ ငှို အ် ာ်း သထာကက် နသ် ပ်းသည ်ဲ့ သသ ာင်း်,,,Susunan tulangan kolom,,,,,,,,,ោក់េរសេដែកកន គរេេរ,,,,,,,,,,,,,,8
スラブ筋,Reinforced slab,slab reinforcement,,,,板筋,,,,เหล็กเสรมิ ในพนื้,Cốt thép bản mặt,ကကမ််း င်း် အတငွ ်း် ရှိ သသ ာင်း်,,,Penulangan pelat,,,,,,,,,េរសេង្កឡា,,,,,,,,,,,,,,8
ベース筋,Footing bottom rebar,base reinforcement,,,,基础筋,,,,เหล็กเสรมิ ในฐานราก,"Cốt thép nền, móng",သအာက ် သ သ ာင်း်,,,Tulangan bagian dasar,,,,,,,,,េរសេង្គឹះ,,,,,,,,,,,,,,8
帯筋（フープ）,Hoop,hoop,,,,柱箍筋,,,,เหล็กปลอกเสา (เหล็ก ปลอกรัดรอบ),Cốt thép đai (dạng vòng tr òn),သကာ်လတ ငှို သ် သ ာင်း် အာ်း ပတထ် ာ်းသညသ်ဲ့ သ ွ,,,Simpul tali,,,,,,,,,េរសេដែកេប់េល់ការ ដបកបបតុរេេរ( វឺប ព)ុ,,,,,,,,,,,,,,8
下端筋,Lower rebar,bottom reinforcement,,,,下端筋,,,,เหล็กเสรมิ ลา่ ง,Cốt thép bên dưới,ရကမ် ရှိ သသ ၏ွ သအာကေ် ကရ် ှိ သသ ာင်း်,,,Tulangan ujung bawah,,,,,,,,,េរសេខារបង្កាម្ខារចុរ,,,,,,,,,,,,,,8
上端筋,Upper rebar,top reinforcement,,,,上端筋,,,,เหล็กเสรมิ บน,Cốt thép bên trên,ရကမ် ရှိ သသ ၏ွ အသပေါ်ေကရ် ှိ သသ ာင်း်,,,Penulangan bagian atas,,,,,,,,,េរសេខារចុរខារបលើ,,,,,,,,,,,,,,8
主筋,Main rebar,main reinforcement,,,,主筋,,,,เหล็กเสรมิ หลัก,Cốt thép chủ,အဓှိကသသ ာင်း်,,,Tulangan utama,,,,,,,,,េរសេបម្,,,,,,,,,,,,,,8
あばら筋,Stirrup,stirrup reinforcement,,,,梁箍筋,,,,เหล็กปลอกคาน,Cốt thép đai (dạng thanh),ရကမ် စသည ်ဲ့ အလ ာ်းလကှို ် သနရာမ ာ်းတငွ ် သ်း ု သည ်ဲ့ သသ ာင်း် ငယ်,,,Sengkang,,,,,,,,,េរសេដែកលកាណ:នអឹរជំនឺ,,,,,,,,,,,,,,8
はかま筋,Footing top bar,hakama reinforcement,,,,裤裙筋,,,,เหล็กเสรมิ ครอบเหล็ก เสรมิ ในฐานราก,Cốt thép đặt xung quanh c ác cốt thép khác ở móng đ ể gia cố,သဆ ငရ် ာတငွ ် အသပေါ်ေကခ် မ််းရှိ သသ ာင်း်,,,Tulangan penguat pondasi,,,,,,,,,សរសសដែកលកខណ:កន្រ្តក,,,,,,,,,,,,,,8
縦筋,Vertical reinforcement(cid:9),vertical reinforcement,,,,竖筋,,,,เหล็กเสรมิ แนวตัง้,Cốt thép dọc,သဒါငလ် ကှို သ် သ ာင်း်,,,Tulangan vertikal,,,,,,,,,សរសសដែកបញ្ឈរ,,,,,,,,,,,,,,8
下筋,Bottom reinforcement,lower reinforcement,,,,下筋,,,,เหล็กเสรมิ ลา่ ง,Cốt thép dưới,ရကမ် ၏ သအာကပ် ှိုင်း် ရှိ သသ ာင်း်,,,Tulangan bawah,,,,,,,,,សរសសដែកខាងឡន្កាម,,,,,,,,,,,,,,8
横筋,Horizontal reinforcement,side reinforcement,,,,横筋,,,,เหล็กเสรมิ แนวนอน,Cốt thép ngang,အလ ာ်းလကှို သ် သ ာင်း်,,,Tulangan horizontal,,,,,,,,,សរសសដែកឡផតក,,,,,,,,,,,,,,8
腹筋,Web bar,midsection reinforcement,,,,腹筋,,,,เหล็กเสรมิ ทเี่ รยี งขนานกับ เหล็กเสรมิ หลัก,Cốt thép cấu tạo bụng dầm,အဓှိကသတ ငှို န္် င အ်ဲ့ ပပှိြုံင ် ထညသ်ဲ့ ငွ ်း် ထာ်းသည ်ဲ့ သသ ာင်း်,,,Tulangan penguat sengkang,,,,,,,,,សរសសដែកដាក់ទទឹង,,,,,,,,,,,,,,8
配力筋,Distribution bar,distributing bar,,,,受力筋,,,,เหล็กเสรมิ ทตี่ ัง้ ฉากกับ เหล็กเสรมิ หลักทรี่ ับแรง,Cốt thép phân bố,အဓှိကသတ ငှို န္် င ်ဲ့ သထာငမ်ဲ့ နအ် သနအထာ်း တယွ ဆ် ကသ် ည ်ဲ့ သသ ာင်း်,,,Tulangan pembagi,,,,,,,,,សរសសដែកដាក់ឈរន្តង់,,,,,,,,,,,,,,8
上筋,Top reinforcement,upper reinforcement,,,,上筋,,,,เหล็กเสรมิ บน,Cốt thép trên,ရကမ် ၏ အသပေါ် ပှိုင်း် ရှိ သသ ာင်း်,,,Tulangan atas,,,,,,,,,សរសសដែកខាងឡលើ,,,,,,,,,,,,,,8
スパイラル筋,Spiral reinforcement,spiral reinforcement,,,,螺纹钢筋,,,,เหล็กปลอกเกลยี ว,Cốt thép xoắn ốc,စပရငက် သ ဲ့ ှို ရဲ့ စ်သ သွ ည ်ဲ့ ပ ုစ ရှိ သသ ာင်း်,,,Tulangan spiral,,,,,,,,,សរសសដែកលកខណ:រងវង់,,,,,,,,,,,,,,8
鉄筋径,Rebar diameter,reinforcing bar diameter,,,,钢筋直径,,,,เสน้ ผา่ นศนู ยก์ ลางของ เหล็กเสรมิ,Đường kính cốt thép,သသ ောင၏် အ င်း်,,,Diameter tulangan baja,,,,,,,,,វជិ ាមាន្តសរសសដែក,,,,,,,,,,,,,,8
かぶり厚さ,Cover concrete thickness,covering depth,,,,保护层厚度,,,,"ความหนาของระยะ คอนกรตี หมุ้ ผวิ เหล็ก, ความหนาของระยะหมุ้ ของคอนกรตี",Độ dày lớp bê tông bảo vệ cốt thép,သသ ာင်း် က ှို ဖ ု်းအုပ်ထာ်းသသာ ကနွ က် ရစ်၏ အထူ,,,Ketebalan pelapisan,,,,,,,,,កមាល ស់ន្គប,,,,,,,,,,,,,,8
角度,Angle,anggulo,,,,角度,,,,มมุ,Độ góc,သထာင်ဲ့,,,Sudut,,,,,,,,,មុុំ,,,,,,,,,,,,,,8
シングル,Single reinforcement,single,,,,单,,,,เหล็กเสรมิ ชัน้ เดยี ว,"Đơn, một",(သတ ငှို )် တစ်တန်း်,,,Tunggal,,,,,,,,,ឯក,,,,,,,,,,,,,,8
ダブル,Double reinforcement,doble,,,,双,,,,เหล็กเสรมิ สองชัน้,"Đôi, hai",(သတ ငှို )် န္စ ်တန်း်,,,Ganda,,,,,,,,,ឡទវ,,,,,,,,,,,,,,8
千鳥結束,Staggered binding,zigzag na tali,,,,交错连结,,,,เหล็กเสรมิ สองชัน้ ผกู สลับ,Kết nối xen kẽ,ကကကသ် ခ တ ် ညသ် န္ာ ငခ် င်း်,,,Pengikatan selang- seling,,,,,,,,,ចុំណងចឡ្ល ោះគ្នា,,,,,,,,,,,,,,8
切断寸法,Cutting dimensions,sukat ng putol,,,,切割尺寸,,,,ขนาดความยาวของการตัด,Kích thước cắt ngang,ခဖတသ် တာကမ် ည ်ဲ့ အရ ည်,,,Ukuran potongan,,,,,,,,,ទុំហុំ ដផាកកាត់,,,,,,,,,,,,,,8
加工寸法,Machining dimensions,sukat ng paggawa,,,,加工尺寸,,,,ขนาดการแปรรูป,Kích thước gia công,ခပြုံခပငလ် ပု ်သဆာငမ် ည ်ဲ့ အတငှို ်း် အတာ,,,Ukuran pembuatan,,,,,,,,,ទុំហុំ ដកសនា,,,,,,,,,,,,,,8
重ね継手,Lap splicing,lap joint,,,,搭接焊接头,,,,การตอ่ ทาบเหล็ก,"Liên kết chồng, mối nối chồng",သသ ာင်း် ၂ သ ာင်း် ၏ အဖ ာ်းက ှို ထပ်၍ ဆကခ် င်း်,,,Sambungan tumpang,,,,,,,,,តុំណជា្់គ្នា,,,,,,,,,,,,,,8
圧接継手,Stud joint,stud joint,,,,加压焊接接头,,,,การตอ่ เหล็กดว้ ยการเชอื่ ม แกส๊ และแรงดัน,"Liên kết hàn áp lực, mối nối hàn áp lực",ဖှိအာ်းခဖင ်ဲ့ တယွ ဆ် ကခ် င်း်,,,Sambungan las tekan,,,,,,,,,តុំណគ្នប,,,,,,,,,,,,,,8
開口部,Opening,butas,,,,开口部,,,,ชอ่ งเปิด,"Lỗ mở, lỗ trống",သသ ောငဆ် ငရ် ာတငွ ် အလယ၌် နထ် ာ်း သ ဲ့ ည်ဲ့ အသပါက်,,,Lubang,,,,,,,,,ដផាកឡបើកចុំហរ,,,,,,,,,,,,,,8
溶接金網,Welded wire mesh,nakawelding na alambreng lambat,,,,焊接钢丝网,,,,ตะแกรงเหล็กเชอื่ ม,Lưới cốt thép sợi hàn,ဂသဟဆကထ် ာ်းသသာ သသ ာင်း် ဆန ် ါကကွ ်,,,Jaring kawat las,,,,,,,,,សុំណាញ់ ដែកផា,,,,,,,,,,,,,,8
搬出,Carrying out(cid:9),paglabas,,,,搬出,,,,ล าเลยี งออก,Vận chuyển ra,(ပစစည်း် ) ထတု ခ် င်း်,,,Mengeluarkan,,,,,,,,,ការែឹកឡចញ,,,,,,,,,,,,,,8
搬入,Carrying into,pagdala sa loob,,,,搬入,,,,ล าเลยี งเขา้,Vận chuyển vào,(ပစစည်း် ) သငွ ်း် ခ င်း်,,,Mengangkat ke dalam,,,,,,,,,ការែឹកចូល,,,,,,,,,,,,,,8
基礎,Foundation,pundasyon,,,,基础,,,,ฐานราก,Móng,သအာကသ် ခ သဖာငသ် ဒ်းရ င်း်,,,Pondasi,,,,,,,,,ន្គឹោះ,,,,,,,,,,,,,,8
機械式継手,Mechanical coupler,mechanical joint,,,,机械式接头,,,,ขอ้ ตอ่ เหล็กเชงิ กล,"Liên kết cơ khí, mối nối cơ khí",သသ ာင်း် ၂ သ ာင်း် က ှို စကက် သှို ်း ု ၍ ဆကခ် င်း်,,,Penyambungan,,,,,,,,,តុំណឡដាយមា៉ា សុី្,,,,,,,,,,,,,,8
配筋検査,Bar arrangement inspection,inspeksyon ng bar arrangement,,,,配筋检查,,,,การตรวจสอบการจัดวาง เหล็กเสรมิ,Kiểm tra bố trí cốt thép,သသ ောငဆ် ငပ်ပ ်းသနာက ် စစ်သဆ်းမှု,,,Pemeriksaan susunan tulangan,,,,,,,,,ការន្តួតពិ្ិតយការដាក់ សរសសដែក,,,,,,,,,,,,,,8
トラクタ,Tractor,tractor,,,,拖拉机、牵引车,,,,รถแทรกเตอร์,Máy kéo,ထနွ စ် က ် (Tractor),,,Traktor,,,,,,,,,ត្រាក់ទរ័,,,,,,,,,,,,,,8
ブルドーザ,Bulldozer,bulldozer,,,,推土机,,,,รถดันดนิ,Xe ủi,သခမထ်းှို စက ် (ေဒူ ဇှို ာ),,,Bulldozer,,,,,,,,,គត្រេឿងចត្រករុញែី,,,,,,,,,,,,,,8
