"だ い       か       き     そ
第1課基礎30",Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 21,Unnamed: 31
3,油圧ポンプ,ゆあつぽんぷ,ဟှိုက်ဒသရာလစ် ပန်ဲ့,,
4,水漏れ,みずもれ,သရယှိုစှိမ်ဲ့ခ င််း,,
5,油漏れ,あぶらもれ,ဆ ယုှိစှိမ်ဲ့ခ င််း,,
6,冷却水,れいきゃくすい,အသအ်း  သပ်းသည်ဲ့သရ,,
7,ブレーキ液,ぶれーきえき,ေရှိတ်အရည်/ေရှိတ်ဆ ,,
8,燃料タンク,ねんりょうたんく,"သလာင်စာဆ ပု ်း၊
သလာင်စာဆ ကန်",,
9,ファンベルト,ふぁんべると,ပန်ကာကကှိြုံ်း,,
10,空気圧,くうきあつ,"(ေ ်း၊ တာယာထ ရှိ )
သလဖှိအာ်း",,
11,クラッチ,くらっち,(ကာ်း) ကလပ်,,
12,急発進,きゅうはっしん,"ရုတ်တရက်အခမန်
စထွက်ခ င််း",,
13,急ブレーキ,きゅうぶれーき,"ရုတ်တရက်အခမန်
ေရှိတ်အုပ်ခ င််း",,
"だい       か   けんせつき か い せ こ う
第20課 建設機械施工②",,,,,
သင ခန ်းစာ ၂၀။ ခဆာက လိုြ ခရ်းစက က ရ ယာလိုြ ငန ်း (၂),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
14,アイドリング,あいどりんぐ,(အင်ဂ င်) န္ှိှု်း၍ အလွတ် လည်သစခ င််း,"て  い  し
エンジンを停止するときはアイドリング
と
したあとに止める",အင်ဂ င်ကှိုပှိတ်သည်ဲ့အ ှိ န်တွင် အလွတ် လည်သစပပ ်းမ  ရပ်သစသည်
15,走行,そうこう,(ကာ်း) သခပ်းခ င််း/သွာ်းခ င််း,,
16,旋回,せんかい,ဆု လည်လ ည်ဲ့ခ င််း,,
17,安全ロック,あんぜんろっく,အန္တရာယ်ကင််းသစရန်၊ စက်အစှိတ်အပှိုင််းမ ာ်း မသရွွဲ့ ရ ာ်းန္ှိုင်သအာင် ထှိမ််း  ြုံပ်သည်ဲ့ ကှိရှိယာ,,
18,安全支柱,あんぜんしちゅう,ခပြုံတ်က မည်ဲ့အန္တရာယ်ကာ ကွယ်သရ်း သထာက်တှိုင်,,
19,補給（する）,ほきゅう（する）,ခဖည်ဲ့ခ င််း,"ねんりょう       ほ き ゅ う
エンジンをかけたまま燃料を補給し                               て
はいけない",အင်ဂ င်ကုှိ န္ှိှု်းထာ်းရင််းနဲ့  သလာင်စာဆ မခဖည်ဲ့ရပါ
20,駐車（する）,ちゅうしゃ（する）,(ပါကင်မ ာ) ကာ်းရပ်ခ င််း၊ ကာ်းထှို်းခ င််း,,
21,歩行者,ほこうしゃ,လမ််းသွာ်းလမ််းလာ,,
22,車両,しゃりょう,ေ ်းတပ်ယာဥ်,,
23,死角,しかく,(ယာဥ်သမာင််း) မ က်ကွယ်,,
24,斜面,しゃめん,ကုန််းသစာင််း၊ ဆင်သခ သလျှာ,"や ま   の   し ゃ め ん       の ぼ
山の斜面を上る",သတာင်သစာင််းကှို တက်သည်
25,転圧（する）,てんあつ（する）,သအာက်သခ သခမသာ်းမ ာ်းကှို တလှိမ်ဲ့တု ်း စသည်တှိုဲ့ခဖင်ဲ့ ဖှိ၍ သှိပ်သည််းသစခ င််း,"て ん あ つ さ ぎ ょ う
ローラで転圧作業をする",ရုှိလာတလှိမ်ဲ့တု ်းခဖင်ဲ့ သအာက်သခ သခမသာ်းမ ာ်းကှို ဖှိသှိပ်သည်
"だい       か   さぎょうど う し
第21課 作業動詞①",,,,,
သင ခန ်းစာ ၂၁။ လိုြ ငန ်းခွင သံို်း ကက ယာမျာ်း  (၁),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
1,接触（する）,せっしょく（する）,ထှိ(သည်),"じ ゅ う き        せっしょく
重機に接触してけがをする",စက်ယန္တရာ်းကက ်းန္ င်ဲ့ထှိမှိ၍ဒဏ်ရာရသည်
2,作動（する）,さどう（する）,လှုပ်ရ ာ်းလည်ပတ်(သည်),"か  さ  い  ほ   う  ち    き            さ  ど   う
火災報知器が作動する",မ ်းအ  က်သပ်းကှိရှိယာ ထခမည်သည်
3,整備（する）,せいび（する）,အဆင်ဲ့ခမြှင်ဲ့တင်(သည်),"しゃりょう         せ  い  び
車両の整備をする",ယာဥ်ကုှိခပြုံခပင်မွမ််းမ သည်
4,点検（する）,てんけん（する）,စစ်သဆ်း(သည်),"さ ぎ ょ う ま え         こ   う   ぐ        て ん け ん
作業前に工具を点検する",အလုပ်မစမ ကှိရှိယာမ ာ်းကုှိ စစ်သဆ်းသည်
5,動かす,うごかす,သရ ွဲ့သည်၊လှုပ်ရ ာ်းသစသည်,"き  か  い        う ご
機械を動かす",စက်ယန္တရာ်းကှိုလှုပ်ရ ာ်းသစသည်
6,運転（する）,うんてん（する）,သမာင််းန္ င်(သည်),"け ん せつ き  か  い        う ん て ん
建設機械を運転する",သဆာက်လုပ်သရ်းစက်ယန္တရာ်းကုှိ သမာင််းန္ င်သည်
7,測る,はかる,တှိုင််းသည်,"て っ き ん        なが              は か
鉄筋の長さを測る",သ သ  ာင််း၏အရ ည်ကုှိတုှိင််းသည်
8,操作（する）,そうさ（する）,သမာင််း(သည်),"き  か  い         そ   う   さ
機械を操作する",စက်ယန္တရာ်းကုှိ ကုှိင်တွယ်သမာင််းန္ င်သည်
9,停止（する）,ていし（する）,ရပ်(သည်),,
10,切る,きる,ခဖတ်သည်၊ရပ်သစသည်,"き              て っ き ん          き
エンジンを切る、鉄筋を切る",အင်ဂ င်ကှို ရပ်သည်၊ သ သ  ာင််းကှို ခဖတ်သည်
11,回す,まわす,လ ည်ဲ့ပတ်သည်၊ခဖန်ဲ့သဝသည်,,
"だい       か   さぎょうど う し
第21課 作業動詞①",,,,,
သင ခန ်းစာ ၂၁။ လိုြ ငန ်းခွင သံို်း ကက ယာမျာ်း  (၁),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
12,押す,おす,တွန််းသည်၊( လုတ်)န္ှိ ပ်သည်,,
13,集める,あつめる,စုစည််းသည်,,
14,触る,さわる,(လက်န္ င်ဲ့)ထှိသည်၊ကှိုင်သ ည်,,
15,縛る,しばる,  ည်သန္ ာင်သည်,,
16,揃える,そろえる,ညှိြှသည်,"て っ き ん        なが              そ ろ
鉄筋の長さを揃える",သ သ  ာင််း၏အရ ည်ကုှိ ည သအာင် ညှိြှသည်
17,結ぶ,むすぶ,ထု ်းသည်၊  ည်သည်,"ざいりょう                                                       む す
材料をまとめてひもで結ぶ",ကုန်ကကမ််းပစစည််းမ ာ်းကှိုစုစည််း၍ ကကှိြုံ်းန္ င်ဲ့  ည်သည်
18,しゃがむ,しゃがむ,သဆာင်ဲ့သကကာင်ဲ့ထှိုင်သည်,,
19,調整（する）,ちょうせい（する）,ကှိုက်ညှိြှ(သည်),,
20,閉じる,とじる,ပှိတ်သည်,,
"だい      か    さぎょうど うし
第22課  作業動詞②",,,,,
သင ခန ်းစာ ၂၂။ လိုြ ငန ်းခွင သံို်း ကက ယာမျာ်း  (၂),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,,
1,取り出す,とりだす,ထုတ်ယူသည်,,
2,戻す,もどす,ခပန်ထာ်းသည်,,
3,仕上げる,しあげる,သနာက်ဆု ်းပှိတ်အသ  ာသပ်သည်,,
4,折れる,おれる,ကှိ ြုံ်းသည်,,
5,欠ける,かける,ပဲ့ သည်,,
6,近づく,ちかづく,အနာ်းကပ်လာသည်,,
7,電源を入れる,でんげんをいれる,လျှပ်စစ် လုတ်ကှိုဖွင်ဲ့သည်,,
8,電源を落とす,でんげんをおとす,လျှပ်စစ် လုတ်ကှိုပှိတ်သည်,,
9,スイッチを切る,すいっちをきる, လုတ်ပှိတ်သည်,,
10,固定（する）,こてい（する）,( ှိုင်မာသအာင်)တပ်ဆင်(သည်),,
11,ゆるめる,ゆるめる,"(သ  ာင်လည်သအာင်)
သလျှာဲ့သည်",,
12,伸ばす,のばす,ဆွ ဆန်ဲ့သည်,,
13,外す,はずす,ဖယ်ရ ာ်းသည်,,
14,曲げる,まげる,သကွ်းသည်,,
15,出す,だす,(အခပင်)ထုတ်သည်,,
16,乾かす,かわかす,အသခ ာက်  သည်,,
"だい      か    さぎょうど うし
第22課  作業動詞②",,,,,
သင ခန ်းစာ ၂၂။ လိုြ ငန ်းခွင သံို်း ကက ယာမျာ်း  (၂),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,,
17,数える,かぞえる,သရတွက်သည်,,
18,運ぶ,はこぶ,သယ်သဆာင်သည်,,
19,積む,つむ,ပု သည်,,
20,下ろす,おろす,သအာက်  သည်,,
21,離れる,はなれる,စွန်ဲ့ ွာသည်၊သရ ာင်တှိမ််းသည်,,
"だい       か   そくてい
第23課測定",,,,,
သင ခန ်းစာ ၂၃။ တို င ်းတာ ခင ်း,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,,,
1,位置,いち,,,
2,寸法,すんぽう,,,
3,測定（する）,そくてい（する）,,,
4,計測（する）,けいそく（する）,,,
5,計測器,けいそくき,,,
6,温度,おんど,,,
7,高さ,たかさ,,,
8,長さ,ながさ,,,
9,重さ,おもさ,,,
10,厚さ,あつさ,,,
11,硬さ,かたさ,,,
12,深さ,ふかさ,,,
13,表面,ひょうめん,,,
14,すきま,すきま,,,
15,中心,ちゅうしん,,,
"だい       か   そくてい
第23課測定",,,,,
သင ခန ်းစာ ၂၃။ တို င ်းတာ ခင ်း,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,,,
16,値,あたい,,,
17,安定（する）,あんてい（する）,,,
18,大きさ,おおきさ,,,
19,数,かず,,,
20,誤差,ごさ,,,
21,中,なか,,,
22,反対,はんたい,,,
23,周り,まわり,,,
24,尺,しゃく,,,
25,青,あお,,,
26,赤,あか,,,
27,白,しろ,,,
28,黄色,きいろ,,,
"だ い           か                             に   ほ   ん   ご                                            ひょうげん
第24課コラム  日本語のいろいろな表現",,,,,
သင ခန ်းစာ ၂၄။ ဂျြန စကာ်းအသံို်းအနှုန ်းအမျ ျု်းမျ ျု်း,,,,,
"げんば                                こと                ひょうげん
１． 現場によって異なる表現
にほん                         ちほう                                     おな        いみ                       こと                ひょうげん                                                                             ほうげん               い                             たと                 した                             れい                                                       ぎも
日本では、地方によって、同じ意味でも異なる表現をすることがあります。「方言」と言います。例えば下のような例がありますので、疑
ん            おも                                                          いっしょ            はたら    ひと         たず
問に思うことがあったら、一緒に働く人に尋ねてみましょう。",,,,,
"၁။ သနရာသဒသအလှိုက်မတူကွ ခပာ်းသသာစကာ်းအသု ်းအန္ှုန််း
(၁) ဂ ပန်မ ာ၊သဒသအလှိုက်၊အဓှိပပါယ်တူသသာ်လည််းမတူကွ ခပာ်းသသာစကာ်းအသု ်းအန္ှုန််းမ ာ်းရှိ သည်။ (သဒသန္တရစကာ်း)ဟုသ ေါ်သည်။ဥပမာ၊ သအာက်ပါနမူနာမ ာ်းရှိ ပါ၍၊သ သယခဖစ်ဖွယ်ရာရှိ လျှင်၊အတူလုပ်သနသူကုှိသမ်းခမန််းကကည်ဲ့ကကပါစှိုဲ့။",,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,,,
1,片づける,かたづける,,,
2,捨てる,すてる,,,
3,掃く,はく,,,
4,持ち上げる,もちあげる,,,
5,束ねる,たばねる,,,
6,足をくじく,あしをくじく,,,
"だ い           か                             に   ほ   ん   ご                                            ひょうげん
第24課コラム  日本語のいろいろな表現",,,,,
သင ခန ်းစာ ၂၄။ ဂျြန စကာ်းအသံို်းအနှုန ်းအမျ ျု်းမျ ျု်း,,,,,
"げんば                                こと                ひょうげん
2． 現場によって異なる表現
けんせつげんば                 つか       どうぐ                   ちほう           ねんだい           かいしゃ                                  おな                                    ちが       よ             かた                                                                        たと                 した                             れい
建設現場で使う道具は、地方、年代や会社によって、同じものでも違う呼び方をすることがあります。例えば下のような例                                                                                                             があります。
みな                       げんば              つか       ひょうげん                                  おぼ                                 べんり
皆さんの現場で使う表現をメモして覚えておくと便利です。",,,,,
"၁။ သနရာသဒသအလုှိက်မတူကွ ခပာ်းသသာစကာ်းအသု ်းအန္ှုန််း
(၂) သဆာက်လုပ်သရ်းလုပ်ငန််း ွင်တွင်သု ်းသသာကှိရှိယာမ ာ်းသည်၊သနရာသဒသ၊အသက်အရွယ်၊ကုမပဏ သပေါ်မူတည်၍၊ကှိရှိယာတစ် ုတည််းကုှိပင် မတူည သသာအသ ေါ်အသဝေါ်မ ာ်းရှိ သည်။။ဥပမာ၊သအာက်ပါနမူနာမ ာ်းရှိ ပါသည်။သင်တှိုဲ့၏အလုပ် ွင်၌သု ်းသသာအသ ေါ်အသဝေါ်ကှိုသရ်းမ တ်ထာ်း၍  မ တ်မှိသအာင်လုပ်ထာ်းလျှင်အဆင်သခပပါလှိမ်ဲ့မည်။",,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,,,
1,一輪車,いちりんしゃ,,,
2,支柱,しちゅう,,,
3,ショベル,しょべる,,,
4,かけや,かけや,,,
"だ い           か                             に   ほ   ん   ご                                            ひょうげん
第24課コラム  日本語のいろいろな表現",,,,,
သင ခန ်းစာ ၂၄။ ဂျြန စကာ်းအသံို်းအနှုန ်းအမျ ျု်းမျ ျု်း,,,,,
"けんせつげんば         どくとく          ひょうげん
3． 建設現場の独特な表現
けんせつげんば           いちばんたいせつ                    あんぜん                                            きけん           とき                                    きけん                                                   こうどう                         とき           おおごえ        こえ                                              きび          ど  な
建設現場で一番大切なのは安全です。そのため、危険な時や、あなたが危険につながりそうな行動をとった時は、大声で声をかけられたり、厳しく怒鳴られ
いっしょ         はたら  ひと                   あんぜん       まも                          ことば                                                                                                        けっ                                    ばとう
ることがあります。それらはあなたや、あなたと一緒に働く人たちの安全を守るための言葉です。びっくりするかもしれませんが、決してあなたを罵倒するため
ことば                                                  あんぜん       こころがけ              じこ              お                                     ちゅうい                               ひじょうじたい                   きんきゅうせい       たか       ばあい             とく        ひょうげん      みじ     つよ                                  おお
の言葉ではありません。安全に心掛けて、事故を起こさないよう注意しましょう。非常事態など緊急性が高い場合は、特に表現が短く強くなる                                                                                                                               ことが多いで
す。",,,,,
"၂။ သဆာက်လုပ်သရ်းလုပ်ငန််း ွင်၏တမူထူ်းခ ာ်းသသာစကာ်းအသု ်းအန္ှုန််း
သဆာက်လုပ်သရ်းလုပ်ငန််း ွင်၌အသရ်းအကက ်းဆု ်းအရာမ ာလု ခ  ြုံစှိတ်  ၍အန္တရာယ်ကင််းသရ်းခဖစ်သည်။ထှိုဲ့သကကာင်ဲ့၊အန္တရာယ်ရှိ သည်ဲ့အ ှိ န်၊သင်က အန္တရာယ်ခဖစ်န္ှိုင်သည်ဲ့လှုပ်ရ ာ်းမှုကှိုလုပ်သည်ဲ့အ ှိ န်မ ာ်း၌၊အသ က ယ်သလာင်စွာသအာ်ဟစ်  ရခ င််း၊ခပင််းထန်စွာဆူပူ  ရခ င််းမ ာ်းရှိ တတ်သည်။၎င််းမ ာသင်သရာ၊သင်န္ င်ဲ့အတူ အလုပ်လုပ်သနသူမ ာ်းကှိုသေ်းအန္တရာယ်မ ကာကွယ်ရန်သု ်းသည်ဲ့စကာ်းလု ်းမ ာ်းခဖစ်ပါသည်။သင်ဲ့ကှိုဆ ဆှိုကကှိမ််းသမာင််းသည်ဲ့
စကာ်းလု ်းမ ာ်းလု ်းဝမဟုတ်ပါ။လု ခ  ြုံစှိတ်  ၍အန္တရာယ်ကင််းသရ်းကှိုစှိတ်ထ ထာ်း၍၊မသတာ်တဆမခဖစ်ရသလသအာင်ဂရုစှိုက်ကကပါစှိုဲ့။အသရ်းသပေါ်အသခ အသနကဲ့ သှိုဲ့အလ င်လုှိ သည်ဲ့အ ါမ ာ်းတွင်၊အထူ်းသခဖင်ဲ့စကာ်းလု ်းတုှိတှိုခပင််းခပင််းသု ်းသလဲ့ရှိ ပါသည်။",,,,,
စက ားအသ  ားအနှုန ား,,,,,
ぼんやりするな！ケガするぞ。,,,,,
"あぶ
ばかやろう！危ない！",,,,,
"なに                                        あぶ                           もど
何やってんだ。危ないぞ。戻れ！",,,,,
"もど
いいから、戻ってこい！",,,,,
"かって              なか         はい
勝手に中に入るな！",,,,,
"だ い           か                             に   ほ   ん   ご                                            ひょうげん
第24課コラム  日本語のいろいろな表現",,,,,
သင ခန ်းစာ ၂၄။ ဂျြန စကာ်းအသံို်းအနှုန ်းအမျ ျု်းမျ ျု်း,,,,,
"しつもん        かくにん
4．質問・確認することの大切さ
さぎょう             まえ         かなら      しつもん                     かくにん                                                                                               さぎょう                             じこ                  お                  かのうせい                たか
わからないことがあったら、作業の前に必ず質問して、確認してください。わからないまま作業すると、事故が起きる可能性が高くなっ
きけん                         に  ほん            しょくば                    あんぜん          かん               しつもん                                            は                                                                                                  せっきょくてき            しつもん                     あんぜん          さぎょう
て、とても危険です。日本の職場では安全に関する質問をすることは恥ずかしいことではありません。積極的に質問して、                                                                                                            安全に作業
しましょう。",,,,,
"၃။ သမ်း ွန််းသမ်းခ င််း၊အတည်ခပြုံစစ်သဆ်းခ င််း၏အသရ်းကက ်းပု 
မသှိနာ်းမလည်တာရှိ လျှင် လုပ်ငန််းမစမ  သသ  ာသမ်းခမန််းပပ ်း အတည်ခပြုံစစ်သဆ်းထာ်းပါ။ မသှိနာ်းမလည်ေ လုပ်ငန််းလုပ်လျှင်၊ မသတာ်တဆခဖစ်န္ှိုင်သခ မ ာ်း၍၊ အလွန်အန္တရာယ်မ ာ်းပါသည်။ ဂ ပန်၏လုပ်ငန််း ွင်မ ာ်းတွင် လု ခ  ြုံစှိတ်  အန္တရာယ်ကင််းသရ်းန္ င်ဲ့ပတ်သက်သသာ သမ်း ွန််းသမ်းခ င််းသည် ရ က်စရာမဟုတ်ပါ။ တက်ကကစွာသမ်းခမန််း၍၊ အန္တရာယ်ကင််းစွာ လုပ်ငန််းလုပ်သဆာင်ကကပါစှိုဲ့။",,,,,
စကာ်းအသံို်းအနှုန ်း,,,,,
どうしてですか。,,,,,
これでいいですか。,,,,,
"いちど              ねが
すみません。もう一度お願いします。",,,,,
"つか                                             いちど       おし
これはどうやって使いますか。もう一度教えてください。",,,,,
"まる
すみません。「丸のこ」ってどれですか。",,,,,
"いみ
「ケレンがけ」ってどういう意味ですか。",,,,,
