番号,単語,読み方（ひらがな）,翻訳,備考,例文,言語
13,事故,じこ,Sự cố,,,ベトナム語
14,服装,ふくそう,Trang phục,,,ベトナム語
15,安全装置,あんぜんそうち,Thiết bị an toàn,,,ベトナム語
だ い       か       き     そ,,,,,,ベトナム語
"第2課基礎30
Bài 2 Cơ bản 30",,,,,,ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
1,安全カバー,あんぜんかばー,Nắp đậy an toàn,,,ベトナム語
2,けが,けが,Vết thương,,,ベトナム語
3,けがをする,けがをする,Bị thương,,,ベトナム語
4,電源,でんげん,Nguồn điện,,,ベトナム語
5,電源を切る,でんげんをきる,Tắt nguồn điện,,,ベトナム語
6,非常停止ボタン,ひじょうていしぼたん,Nút dừng khẩn cấp,,,ベトナム語
7,非常停止ボタンを押す,ひじょうていしぼたん                  をおす,Nhấn nút dừng khẩn cấp,,,ベトナム語
8,ルール,るーる,Quy tắc,,,ベトナム語
9,ルールを守る,るーるをまもる,Tuân thủ quy tắc,,,ベトナム語
10,止める,とめる,Cho dừng,,,ベトナム語
11,機械を止める,きかいをとめる,Cho dừng máy,,,ベトナム語
12,やって,やって,Hãy làm,,,ベトナム語
13,止めて,とめて,Hãy dừng lại,,,ベトナム語
14,取って,とって,Hãy lấy,,,ベトナム語
15,だめ（な）,だめ（な）,"(tính từ) Không được, kh ông tốt",,,ベトナム語
だい    か   ざいりゅうしかく   ろうどうけいやく,,,,,,ベトナム語
"第3課在留資格、労働契約1
Bài 3 Tư cách lưu trú, Hợp đồng lao động 1",,,,,,ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
1,監理団体,かんりだんたい,Đoàn thể giám sát (nghiệp đoàn),Là tổ chức phi lợi nhuận thực hiện quản lý và hướng dẫn về việc học tập kỹ năng và các hoạt động của thực tập sinh kỹ năng.,,ベトナム語
2,技術移転,ぎじゅついてん,Chuyển giao kỹ thuật,,,ベトナム語
3,技能実習期間,ぎのうじっしゅうきかん,Thời gian thực tập kỹ năng,,,ベトナム語
4,職種,しょくしゅ,Ngành nghề,,,ベトナム語
5,在留資格,ざいりゅうしかく,Tư cách lưu trú,,,ベトナム語
6,パスポート,ぱすぽーと,Hộ chiếu,,,ベトナム語
7,在留カード,ざいりゅうかーど,Thẻ lưu trú,,,ベトナム語
8,入管,にゅうかん,Cục quản lý nhập cảnh,"に ゅ う こ く か ん り ち ょ う
Chữ viết tắt của ""入国管理庁 (Cục
に ゅ う こ く か ん り き ょ く
quản lý nhập cảnh)"",  ""入国管理局
(Cục quản lý nhập cảnh)"".",,ベトナム語
9,在留期間,ざいりゅうきかん,Thời hạn lưu trú,,,ベトナム語
10,雇用契約,こようけいやく,Hợp đồng tuyển dụng,,,ベトナム語
11,給与明細,きゅうよめいさい,Bảng chi tiết lương,,,ベトナム語
12,給料,きゅうりょう,Lương,,,ベトナム語
13,残業手当,ざんぎょうてあて,Trợ cấp làm tăng ca,,,ベトナム語
14,労働時間,ろうどうじかん,Thời gian làm việc,,,ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,,,ベトナム語
1,控除（する）,こうじょ（する）,(động từ) Khấu trừ,,,ベトナム語
2,ボーナス,ぼーなす,Tiền thưởng,,,ベトナム語
3,有休,ゆうきゅう,Nghỉ phép có lương,,,ベトナム語
4,代休,だいきゅう,Nghỉ bù,,,ベトナム語
5,労働基準法,ろうどうきじゅんほう,Luật lao động cơ bản,,,ベトナム語
6,労働条件,ろうどうじょうけん,Điều kiện lao động,,,ベトナム語
7,税金,ぜいきん,Tiền thuế,,,ベトナム語
8,所得税,しょとくぜい,Thuế thu nhập,,,ベトナム語
9,住民税,じゅうみんぜい,Thuế cư dân,,,ベトナム語
10,厚生年金,こうせいねんきん,Lương hưu,,,ベトナム語
11,雇用保険,こようほけん,Bảo hiểm thất nghiệp,,,ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,,,ベトナム語
12,健康保険,けんこうほけん,Bảo hiểm y tế,,,ベトナム語
13,社会保険,しゃかいほけん,Bảo hiểm xã hội,,,ベトナム語
14,労災,ろうさい,Tai nạn lao động,,,ベトナム語
15,労災保険,ろうさいほけん,Bảo hiểm tai nạn lao đ ộng,,,ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
1,遅刻（する）,ちこく（する）,(động từ) Đi muộn,,,ベトナム語
2,早退（する）,そうたい（する）,(động từ) Về sớm,,,ベトナム語
3,休憩（する）,きゅうけい（する）,(động từ) Nghỉ giải lao,,,ベトナム語
4,残業（する）,ざんぎょう（する）,(động từ) Làm thêm giờ,,,ベトナム語
5,定時,ていじ,Giờ quy định,"Giờ đã được quy định. Tại nơi làm
việc, chủ yếu chỉ thời gian đã được quy định ví dụ giờ đến công ty, giờ về.","き ょ う       て い じ      かえ
今日は定時に帰る",ベトナム語
6,規則,きそく,Quy tắc,,,ベトナム語
7,休日,きゅうじつ,Ngày nghỉ,,,ベトナム語
8,始業時間,しぎょうじかん,Giờ bắt đầu làm việc,,,ベトナム語
9,終業時間,しゅうぎょうじかん,Giờ kết thúc làm việc,,,ベトナム語
10,指導員,しどういん,Người hướng dẫn,,,ベトナム語
11,生活指導員,せいかつしどういん,Người hướng dẫn đời sống,,,ベトナム語
12,担当者,たんとうしゃ,Người phụ trách,,,ベトナム語
13,スイッチ入れるな,すいっちいれるな,Không được bật công tắc,,,ベトナム語
14,スイッチ切るな,すいっちきるな,Không được tắt công tắc,,,ベトナム語
15,使用禁止,しようきんし,Cấm sử dụng,,,ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
1,5S,ごえす,5S,"Là 5 từ Seiri, Seiton, Seisou, Seiketsu, Shitsuke. S là chữ viết tắt của các chữ cái đầu. Là từ được sử dụng để duy trì và cải thiện nơi     làm việc.",,ベトナム語
2,整理,せいり,Seiri (sàng lọc),Là việc xác định rõ những gì cần thiết và những gì không cần thiết rồi chia sẻ thông tin đó với nhau để nâng cao chất lượng và năng suất.,,ベトナム語
3,整頓,せいとん,Seiton (sắp xếp),"Là việc quy định vị trí để và cách để cá c vật dụng cần thiết, hiển thị chúng một cách rõ ràng nhằm giảm sự không hợp lý và sự lãng phí.",,ベトナム語
4,清掃,せいそう,Seisou (sạch sẽ),"Làm vệ sinh để làm cho nơi làm việc trở nên sạch sẽ, đẹp, và dễ hiểu được đ ó là tình trạng đúng.",,ベトナム語
5,清潔,せいけつ,Seiketsu (săn sóc),"Là việc thực hiện triệt để Seiri, Seiton,
Seisou để duy trì tình trạng bình thường, không bị bẩn.",,ベトナム語
6,しつけ,しつけ,Shitsuke (sẵn sàng),"Là việc tạo thành thói quen để thực hiện được những việc đã được quy đ
ịnh đúng như nó đã được quy định, và tạo thành văn hóa hợp tác lẫn nhau.",,ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
7,掃除（する）,そうじ（する）,(động từ) Làm vệ sinh,,,ベトナム語
8,片づける,かたづける,Dọn dẹp,,,ベトナム語
9,捨てる,すてる,Vứt bỏ,,,ベトナム語
10,汚い,きたない,Bẩn,,,ベトナム語
11,汚れる,よごれる,Bị bẩn,,,ベトナム語
12,分別（する）,ぶんべつ（する）,(động từ) Phân loại,,,ベトナム語
13,燃えないごみ,もえないごみ,Rác không cháy được,,,ベトナム語
14,燃えるごみ,もえるごみ,Rác cháy được,,,ベトナム語
15,挟まれる,はさまれる,Bị kẹp vào,,"き か い       て       はさ
機械に手が挟まれた",ベトナム語
16,巻き込まれる,まきこまれる,Bị cuốn vào,,"き か い       て         ま        こ
1)機械に手が巻き込まれる
てぶくろ                         ばん      ま        こ
2)手袋がフライス盤に巻き込まれる",ベトナム語
17,やけど（する）,やけど（する）,(động từ) Bị bỏng,,,ベトナム語
18,落ちる,おちる,Bị rơi,,"かいだん           お
階段から落ちる",ベトナム語
19,すべる,すべる,Trơn,,"ゆか
床がすべる",ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
20,転ぶ,ころぶ,Bị ngã,,"こうじょう                         ころ
工場ですべって転んだ",ベトナム語
21,濡れる,ぬれる,Bị ướt,,,ベトナム語
22,衛生,えいせい,Vệ sinh,,,ベトナム語
23,避難（する）,ひなん（する）,"(động từ) Sơ tán, lánh nạn",,,ベトナム語
24,救急車,きゅうきゅうしゃ,Xe cứu thương,,,ベトナム語
25,災害,さいがい,Thảm họa,,,ベトナム語
26,地震,じしん,Động đất,,"じ し ん        お
地震が起きる",ベトナム語
27,もぐる,もぐる,Chui xuống,,"じ し ん         つくえ   した
地震だ！机の下にもぐれ！",ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
1,火気厳禁,かきげんきん,Cấm lửa,,,ベトナム語
2,開放厳禁,かいほうげんきん,Cấm mở,,,ベトナム語
3,標識,ひょうしき,Bảng hiệu,,,ベトナム語
4,気をつける,きをつける,"Chú ý, cẩn thận",,,ベトナム語
5,持ち込む,もちこむ,Mang vào,,"こうじょう     けいたいでんわ       も        こ
工場に携帯電話を持ち込んではいけ
ない",ベトナム語
6,防ぐ,ふせぐ,Phòng ngừa,,"あんぜんかくにん           じ   こ       ふせ
安全確認して事故を防ぐ",ベトナム語
7,火,ひ,Lửa,,,ベトナム語
8,煙,けむり,Khói,,,ベトナム語
9,消火,しょうか,Chữa cháy,,,ベトナム語
10,消火器,しょうかき,Bình chữa cháy,,,ベトナム語
11,非常ベル,ひじょうべる,Chuông khẩn cấp,,,ベトナム語
12,火災報知機,かさいほうちき,Thiết bị báo cháy,,,ベトナム語
13,逃げる,にげる,Trốn chạy,,,ベトナム語
14,現場,げんば,Hiện trường,,,ベトナム語
15,作業,さぎょう,Thao tác,,,ベトナム語
16,ミーティング,みーてぃんぐ,Cuộc họp,"Họp, họp đầu giờ sáng, họp cuối giờ ,
v.v cũng có trường hợp được gọi là ""
ミーティング (Meeting)"".",,ベトナム語
17,研修（する）,けんしゅう（する）,(động từ) Đào tạo,,,ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
18,実習（する）,じっしゅう（する）,(động từ) Thực tập,,,ベトナム語
19,あいさつ,あいさつ,Chào hỏi,,,ベトナム語
20,確認（する）,かくにん（する）,"(động từ) Kiểm tra, xác nhận",,,ベトナム語
21,報告（する）,ほうこく（する）,(động từ) Báo cáo,,,ベトナム語
22,連絡（する）,れんらく（する）,(động từ) Liên lạc,,,ベトナム語
23,相談（する）,そうだん（する）,(động từ) Thảo luận,,,ベトナム語
24,渡す,わたす,Đưa,Sử dụng khi đưa đồ vật cho ai đó.,,ベトナム語
25,申請書,しんせいしょ,Đơn xin,,,ベトナム語
26,寝坊（する）,ねぼう（する）,(động từ) Ngủ quên,,,ベトナム語
だい    か   ぎ の うじっ                        しゅう,,,,,,ベトナム語
"第8課技能実習
Bài 8 Thực tập kỹ năng",,,,,,ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),,,,ベトナム語
1,技能,ぎのう,,,,ベトナム語
2,技能検定試験,ぎのうけんていしけん,,,,ベトナム語
3,受検（する）,じゅけん,,,,ベトナム語
4,資格,しかく,,,,ベトナム語
5,手当,てあて,,,,ベトナム語
6,社員,しゃいん,,,,ベトナム語
7,部長,ぶちょう,,,,ベトナム語
8,課長,かちょう,,,,ベトナム語
9,更衣室,こういしつ,,,,ベトナム語
10,台車,だいしゃ,,,,ベトナム語
11,床,ゆか,,,,ベトナム語
12,出口,でぐち,,,,ベトナム語
13,電気,でんき,,,,ベトナム語
14,警報音,けいほうおん,,,,ベトナム語
15,コンセント,こんせんと,,,,ベトナム語
16,作業場,さぎょうば,,,,ベトナム語
17,作業台,さぎょうだい,,,,ベトナム語
18,工事現場,こうじげんば,,,,ベトナム語
19,職長,しょくちょう,,,,ベトナム語
20,作業責任者,さぎょうせきにんしゃ,,,,ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
1,禁止,きんし,Cấm,,,ベトナム語
2,表示板,ひょうじばん,Biển báo,,,ベトナム語
3,禁止事項,きんしじこう,Những điều bị cấm,,,ベトナム語
4,避難訓練,ひなんくんれん,"Huấn luyện lánh nạn
/sơ tán",,,ベトナム語
5,感電,かんでん,(danh từ) Sự bị điện giật,,,ベトナム語
6,防止,ぼうし,(danh từ) Sự ngăn chặn,,,ベトナム語
7,予防,よぼう,(danh từ) Sự phòng ngừa,,,ベトナム語
8,転倒,てんとう,"(danh từ) Sự ngã, đổ",,,ベトナム語
9,挟まる,はさまる,"Kẹp, kẹp vào",,,ベトナム語
10,足元,あしもと,Dưới chân,,,ベトナム語
11,不安定,ふあんてい,"(danh từ) Sự không ổn đ ịnh, không vững",,,ベトナム語
12,後片付け,あとかたづけ,Dọn dẹp,,,ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
13,救急箱,きゅうきゅうばこ,Hộp sơ cứu,,,ベトナム語
14,絆創膏,ばんそうこう,Băng dán vết thương,,,ベトナム語
15,体調,たいちょう,Thể trạng,,,ベトナム語
16,血,ち,Máu,,,ベトナム語
17,熱中症,ねっちゅうしょう,"Sốc nhiệt, say nắng",,,ベトナム語
18,吐き気,はきけ,"Buồn nôn, buồn ói",,,ベトナム語
19,嘔吐,おうと,"(danh từ) Sự nôn, ói",,,ベトナム語
20,足がつる,あしがつる,Chân bị chuột rút,,,ベトナム語
21,気分が悪い,きぶんがわるい,"Không khỏe, khó ở",,,ベトナム語
22,寝不足,ねぶそく,Thiếu ngủ,,,ベトナム語
23,安全ネット,あんぜんねっと,Lưới an toàn,,,ベトナム語
24,安全点検,あんぜんてんけん,Kiểm tra an toàn,,,ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
1,KY活動（危険予知活動）,けーわいかつどう（きけ                     んよちかつどう）,Hoạt động KY (Hoạt động dự báo nguy hiểm),,,ベトナム語
2,危険,きけん,Nguy hiểm,,,ベトナム語
3,ぶつかる,ぶつかる,"Va, đụng phải",,トラクタショベルのバケットにぶつかってけがをした,ベトナム語
4,当たる,あたる,"Đụng, trúng",,"あ  し  ば                 お                               こ   う   ぐ         からだ        あ
足場から落ちてきた工具が体に当
たってけがをした",ベトナム語
5,下敷きになる,したじきになる,Bị đè/cán lên,,"じ ゅ う き         し   た  じ
重機の下敷きになる",ベトナム語
6,打つ,うつ,"Đập, nện",,"あやま                                                  て            う
誤ってハンマーで手を打ってしまっ                               た",ベトナム語
7,バランスを崩す,ばらんすをくずす,Mất thăng bằng,,"う え                                           く ず              て ん ら く
はしごの上でバランスを崩して転落                               し
た",ベトナム語
8,倒れる,たおれる,"Đổ, sập, ngã nằm xuống",,"た お                  ねっちゅうしょう        た お
はしごが倒れる、熱中症で倒れる",ベトナム語
9,転落,てんらく,"(danh từ) Sự rơi, ngã xuống",,"う え                                           く ず              て ん ら く
はしごの上でバランスを崩して転落                               し
た",ベトナム語
10,指差呼称,しさこしょう,Chỉ tay gọi tên,,,ベトナム語
11,ヒヤリハット,ひやりはっと,Sự cố (tiềm ẩn nguy cơ nhưng chưa gây ra thiệt hại).,,,ベトナム語
12,原因,げんいん,Nguyên nhân,,,ベトナム語
13,対策,たいさく,"Giải pháp, biện pháp",,,ベトナム語
14,落下,らっか,(danh từ) Sự rơi xuống,,"あ し ば           こ う ぐ       ら っ か
足場から工具が落下した",ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
15,墜落,ついらく,(danh từ) Sự rơi (từ trên cao) xuống,,"か  い  こ  う  ぶ               つ い ら く
開口部から墜落した",ベトナム語
16,確認,かくにん,"(danh từ) Sự kiểm tra, xác nhận",,"しゅうい      あんぜん    かくにん
周囲の安全を確認する",ベトナム語
"けんせつ       しょくば                  か    こ         けいけん                はたら   ひと        じ    こ                                  まも
建設の職場には、過去の経験から、働く人を事故やけがから守るためのルールがあります。
おも                                                           みな                  じ  ぶ  ん        な  か  ま        あんぜん                          かなら     まも
めんどうだと思うかもしれませんが、皆さんも自分や仲間の安全のために必ず守ってください。
Trong môi trường làm việc thuộc ngành xây dựng, có những quy định được đặt ra để bảo vệ người lao động khỏi tai nạn và thương tích. Có thể các bạn thấy phiền phức, nhưng nhất định hãy tuân thủ để có thể bảo vệ mình và các đồng nghiệp.",,,,,,ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,,,ベトナム語
1,作業着,さぎょうぎ,Trang phục lao động,,,ベトナム語
2,作業服,さぎょうふく,Trang phục lao động,,,ベトナム語
3,作業靴,さぎょうぐつ,Giày lao động,,,ベトナム語
4,手袋,てぶくろ,Găng tay,,,ベトナム語
5,帽子,ぼうし,Mũ,,,ベトナム語
6,保護帽（ヘルメット）,ほごぼう（へるめっと）,Mũ bảo hộ,,,ベトナム語
7,保護具,ほごぐ,Dụng cụ bảo hộ,,,ベトナム語
8,あごひも,あごひも,Quai mũ,,,ベトナム語
9,ボタン,ぼたん,"Nút, khuy",,,ベトナム語
10,ポケット,ぽけっと,Túi,,,ベトナム語
11,保護メガネ,ほごめがね,Kính bảo hộ,,,ベトナム語
12,マスク,ますく,Khẩu trang,,,ベトナム語
13,耳栓,みみせん,Nút tai,,,ベトナム語
14,安全靴,あんぜんぐつ,Giày bảo hộ,,,ベトナム語
15,墜落制止用器具（安全帯）,"ついらくせいしようきぐ
（あんぜんたい）",Dây đai an toàn,,,ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,,,ベトナム語
16,業務,ぎょうむ,Nghiệp vụ,,,ベトナム語
17,時間厳守,じかんげんしゅ,Tuân thủ giờ giấc,,,ベトナム語
18,予定,よてい,Dự định,,,ベトナム語
19,日付,ひづけ,Ngày tháng,,,ベトナム語
20,準備,じゅんび,(danh từ) Sự chuẩn bị,,,ベトナム語
21,会議,かいぎ,Cuộc họp,,,ベトナム語
22,朝礼,ちょうれい,Họp đầu giờ sáng,,,ベトナム語
23,報告書,ほうこくしょ,Bản báo cáo,,,ベトナム語
24,マニュアル,まにゅある,Tài liệu hướng dẫn,,,ベトナム語
25,作業手順書,さぎょうてじゅんしょ,Bản trình tự thao tác,,,ベトナム語
26,調子,ちょうし,"Tình trạng, tình hình",,,ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
1,立入禁止,たちいりきんし,Cấm vào,,,ベトナム語
2,禁煙,きんえん,Cấm hút thuốc,,,ベトナム語
3,火気厳禁,かきげんきん,Cấm lửa,,,ベトナム語
4,駐車禁止,ちゅうしゃきんし,Cấm đỗ xe,,,ベトナム語
5,足もと注意,あしもとちゅうい,Chú ý dưới chân,,,ベトナム語
6,開口部注意,かいこうぶちゅうい,Chú ý lỗ mở,,,ベトナム語
7,感電注意,かんでんちゅうい,Chú ý điện giật,,,ベトナム語
8,堕落注意,ついらくちゅうい,Chú ý rơi ngã,,,ベトナム語
9,頭上注意,ずじょうちゅうい,Chú ý trên đầu,,,ベトナム語
10,警報設備,けいほうせつび,Thiết bị báo động,,,ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
11,消火器,しょうかき,Bình chữa cháy,,,ベトナム語
12,AED設置場所,えーいーでぃーせっち                   ばしょ,Nơi đặt máy AED,,,ベトナム語
13,保護帽着用,ほごぼうちゃくよう,Đội mũ bảo hộ,,,ベトナム語
14,安全帯使用,あんぜんたいしよう,Sử dụng dây đai an toàn,,,ベトナム語
15,昇降階段,しょうこうかいだん,Cầu thang bộ,,,ベトナム語
16,休憩所,きゅうけいじょ,Khu vực nghỉ ngơi,,,ベトナム語
17,最大積載荷重,さいだいせきさいかじゅう,Tải trọng tối đa,,,ベトナム語
18,喫煙所,きつえんじょ,Khu vực hút thuốc,,,ベトナム語
19,整理整頓,せいりせいとん,Sắp xếp chỉnh đốn,,,ベトナム語
20,安全通路,あんぜんつうろ,Lối đi an toàn,,,ベトナム語
Số,,,,,,ベトナム語
1,,,,,,ベトナム語
2,,,,,,ベトナム語
3,,,,,,ベトナム語
4,,,,,,ベトナム語
5,,,,,,ベトナム語
6,,,,,,ベトナム語
7,,,,,,ベトナム語
8,,,,,,ベトナム語
9,,,,,,ベトナム語
10,,,,,,ベトナム語
Số,,,,,,ベトナム語
11,,,,,,ベトナム語
12,,,,,,ベトナム語
13,,,,,,ベトナム語
14,,,,,,ベトナム語
15,,,,,,ベトナム語
16,,,,,,ベトナム語
17,,,,,,ベトナム語
18,,,,,,ベトナム語
19,,,,,,ベトナム語
20,,,,,,ベトナム語
21,,,,,,ベトナム語
Số,,,,,,ベトナム語
22,,,,,,ベトナム語
23,,,,,,ベトナム語
24,,,,,,ベトナム語
25,,,,,,ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
1,親綱,おやづな,Dây neo,"Là dây thừng dùng để móc dây đai an toàn (đai có gắn dây bảo hộ) tại công trường, được căng giữa các cột trụ sao cho không bị chùng xuống.","お やづな        あんぜんたい
親綱に安全帯をかける",ベトナム語
2,建枠（ビティ）,たてわく（びてぃ）,Giàn giáo khung (Beatty),,"た て わ く                                   も ち               あ  し  ば         く  み  た
建枠（ビティ）を用いて足場を組立て
る",ベトナム語
3,メッシュシート,めっしゅしーと,Lưới bao che,"Còn gọi là ""Yojo shiito"" (tấm phủ bảo vệ) hoặc ""Hisan boushi netto"" (lưới chống rơi)","あ  し  ば  わ く                                                           と          つ
足場枠にメッシュシートを取り付け                               る",ベトナム語
4,防音パネル,ぼうおんぱねる,Tấm cách âm,,"そ う お ん た い さ く                   ぼ う お ん                             せ  っ  ち
騒音対策として防音パネルを設置す
る",ベトナム語
5,朝顔材,あさがおざい,"Vách nghiêng dựng tạm để ngừa đồ vật rơi, bắn ra đ ường",,"あ さ がおざ い        ひ  ら  い  ら  っ  か  ぼ  う  し
朝顔材は飛来落下防止のためにつか
う",ベトナム語
6,架空線,かくうせん,Đường dây điện trên cao,Vì đây là đường dây điện cao áp nên nếu chạm vào thì nhiều khả năng sẽ bị điện giật,"か   く   う せ ん        せっしょく
架空線へ接触させないようにする",ベトナム語
7,幅木（仮設足場）,はばき（かせつあしば）,Tấm chắn chống rơi ngã (Giàn giáo tạm thời),,"ろ う ど う し ゃ        つ い て ん ら く       き     ぐ           ら  っ  か  ぼ   う  し
労働者の墜転落・器具の落下防止の
あ  し  ば         は  ば  き        も う
ために足場に幅木を設ける",ベトナム語
8,単管,たんかん,Ống thép,"Gọi tắt của từ ""Tankan paipu"". Ngoài ra còn gọi là ""Paipu"".","たん かん        も ち                あ  し  ば           く             た
単管を用いて足場を組み立てる",ベトナム語
9,脚立,きゃたつ,Thang gấp,,,ベトナム語
10,作業半径,さぎょうはんけい,Bán kính hoạt động,Bán kính quay của máy móc hạng nặng. Khu vực này thường bị cấm vào để phòng tránh tai nạn do va chạm,"じ ゅ う き さ ぎ ょ う         さ ぎ ょ う は ん け い          た           い               き ん
重機作業の作業半径に立ち入りを禁
し
止する",ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
11,仮ボルト,かりぼると,Bu lông tạm thời,,"か り                            こ う ぞ う た い        か り         こ   て  い
仮ボルトで構造体を仮に固定する",ベトナム語
12,手直し,てなおし,Chỉnh sửa,,"し  て  き                       ば  し  ょ         て  な  お
指摘された場所を手直しする",ベトナム語
13,面一,つらいち,Bề mặt của hai vật liệu phẳng đều nhau,,"つ ら い ち
面一にそろえる",ベトナム語
14,点検事項,てんけんじこう,Hạng mục kiểm tra,,"し  よ   う               こ   う   ぐ        て ん け ん  じ   こ   う         も と                し
使用する工具は点検事項に基づき始
ぎょうま えて ん け ん
業前点検をおこなう",ベトナム語
15,積載荷重,せきさいかじゅう,Hoạt tải,,"せ き さ い か じ ゅ う         こ
トラックの積載荷重を超えないよう                               に
つ            こ
積み込む",ベトナム語
16,すき間,すきま,Khe hở,,"ぼ う お ん                                         ま            あ
防音シートはすき間が空かないよう                               に
と          つ
取り付ける",ベトナム語
17,通りを見る,とおりをみる,Kiểm tra có thẳng hay khô ng,,"かたど お              ね  ぎ  り           で     き                              と お
やり方通りで根切が出来ているか通
りをみる",ベトナム語
18,組立,くみたて,"Lắp ráp, lắp ghép",,"あ  し  ば         く  み  た
足場を組立てる",ベトナム語
19,地組,じぐみ,Lắp ráp ở mặt đất,,"し た          じ   ぐ み              あ  し  ば                                          あ
下で地組した足場をクレーンで上げ
う え          と          つ
て上で取り付ける",ベトナム語
20,天端,てんば,Mặt trên,"Còn gọi là ""Uwaba""","て  ん  ば                            へいかつ
コンクリートの天端をコテで平滑に                               な
らす",ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
21,玉掛け,たまかけ・たまがけ,Treo tải,,"ざいりょう         つ          あ                さ い        あんぜん          い     ち
材料を吊り上げる際は安全な位置に
た ま か け
玉掛けをおこなう",ベトナム語
22,合図,あいず,"Dấu hiệu, tín hiệu",,"じ ゅ う き さ ぎ ょ う        あ  い  ず                          あんぜん       おこな
重機作業は合図をもって安全に行う",ベトナム語
23,定格荷重,ていかくかじゅう,Tải trọng quy định,,"て い か く か じ ゅ う         こ                  つ                      さ ぎ ょ う
定格荷重を超えて吊りもの作業はお
こなわない",ベトナム語
24,たち,たち,Độ thẳng đứng,,"あ  し  ば  し  ち  ゅ  う                              み             すいちょくせい
足場支柱のたちを見る（垂直性＝た
ち）",ベトナム語
25,職長,しょくちょう,Tổ trưởng,,"あ  し  ば  く み た て        しょくちょう          し     じ          したが
足場組立は職長の指示に従う",ベトナム語
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,ベトナム語
1,安全カバー,あんぜんかばー,Vỏ bọc an toàn,"Chủ yếu chỉ cái chụp lưỡi cưa của má y cưa đĩa. Sử dụng để phòng ngừa việc cưa bật ngược, v.v... về phía người cầm máy khi đang cưa.","あ  ん  ぜ ん                 し よ  う         じ こ         ふ  せ
安全カバーの使用で事故を防ぐ",ベトナム語
2,安全帯,あんぜんたい,Dây đai an toàn,,"あんぜんたい        あ  し  ば          と          つ
安全帯を足場に取り付ける",ベトナム語
3,インサート,いんさーと,Chốt chèn,,"せ  っ  ち
インサートをコンクリートに設置す                               るた
か た わ く          う           こ
め、型枠に打ち込む",ベトナム語
4,スペーサ,すぺーさ,Con kê,,"か た わ く                                            と          つ
型枠にスペーサを取り付ける",ベトナム語
5,鉄筋,てっきん,Thanh cốt thép,,"て っ き ん       か た わ く         す  き  ま        ちょうせい
鉄筋と型枠の隙間を調整する",ベトナム語
6,電工ドラム（ドラム）,でんこうどらむ（どらむ）,Rulô cuốn dây điện,,"で ん こ う                                                                  さ           こ
電工ドラムのコンセントに差し込む",ベトナム語
7,電動丸のこ（電のこ）,でんどうまるのこ（でんのこ）,Máy cưa đĩa (Dennoko),,"で ん ど う ま る                                                         せつだん
電動丸のこでコンパネを切断する",ベトナム語
8,パッキン,ぱっきん,"Gioăng, đệm, khớp nối",,"し           こ
パッキンを敷き込む",ベトナム語
9,小バール,しょうばーる,"Xà beng, đòn bẩy nhỏ",,"しょう                               く ぎ          ぬ
小バールで釘を抜く",ベトナム語
10,大バール,だいばーる,"Xà beng, đòn bẩy to",,"か た わく かい たい        だい                               し   よ   う
型枠解体に大バールを使用する",ベトナム語
